#_of_samples	score_of_train	score_of_test
5	0.4928571428571429	0.5333333333333333
12	0.6928571428571428	0.7333333333333333
19	0.9357142857142857	0.9833333333333333
26	0.9642857142857143	0.9666666666666667
33	0.9571428571428572	0.95
40	1.0	1.0
47	1.0	1.0
54	1.0	0.9666666666666667
61	0.9928571428571429	1.0
68	0.9928571428571429	1.0
75	0.9928571428571429	1.0
82	0.9928571428571429	1.0
89	0.9928571428571429	1.0
96	0.9928571428571429	1.0
103	0.9928571428571429	1.0
110	0.9928571428571429	1.0
117	1.0	1.0
124	1.0	1.0
131	1.0	1.0
138	1.0	1.0
