exp_C	score_of_test
-20	0.36666666666666664
-19	0.9833333333333333
-18	0.9833333333333333
-17	0.9833333333333333
-16	0.9833333333333333
-15	0.9833333333333333
-14	0.9833333333333333
-13	0.36666666666666664
-12	0.36666666666666664
-11	0.36666666666666664
-10	0.36666666666666664
-9	0.36666666666666664
-8	0.36666666666666664
-7	0.36666666666666664
-6	0.36666666666666664
-5	0.95
-4	1.0
-3	1.0
-2	1.0
-1	1.0
0	1.0
1	1.0
2	1.0
3	1.0
4	1.0
5	1.0
6	1.0
7	1.0
8	1.0
9	1.0
10	1.0
11	1.0
12	1.0
13	1.0
14	1.0
15	1.0
16	1.0
17	1.0
18	1.0
19	1.0
20	1.0
